function,method,proposed_query,predicted_mean,predicted_std,acquisition_score,best_observed_output,evaluated_by_hidden_function
1,UCB,0.797608-0.862936,-0.00030164770879379633,0.00106728650132838,0.0018329252938629637,7.710875114502849e-16,False
1,EI,0.475815-0.873366,-0.0003484183948505848,0.0010812656416742702,5.876521363503554e-26,7.710875114502849e-16,False
1,PI,0.676260-0.867492,-0.00034793789734299444,0.0010812156447185465,5.311716192662713e-22,7.710875114502849e-16,False
2,UCB,0.718799-0.004769,0.5340469466580483,0.14943003564589924,0.8329070179498468,0.6112052157614438,False
2,EI,0.706787-0.047496,0.5702284881348314,0.12495874593088736,0.028454555005240856,0.6112052157614438,False
2,PI,0.695710-0.688972,0.6199871368173548,0.03740212768325102,0.487009901961387,0.6112052157614438,False
3,UCB,0.734619-0.015572-0.000956,-0.061080910721994904,0.08918468290597506,0.11728845508995522,-0.034835313350078584,False
3,EI,0.495579-0.999788-0.403904,-0.03650091796658243,0.06488658310697815,0.02047042581448371,-0.034835313350078584,False
3,PI,0.861094-0.926022-0.373737,-0.030422097386400573,0.04523723643188239,0.4508557154749183,-0.034835313350078584,False
4,UCB,0.424710-0.415370-0.368365-0.374696,-1.8401666752592032,0.7158390664221892,-0.4084885424148248,-4.025542281908162,False
4,EI,0.424710-0.415370-0.368365-0.374696,-1.8401666752592032,0.7158390664221892,2.1756138729543095,-4.025542281908162,False
4,PI,0.475050-0.459630-0.381873-0.322466,-2.241079869883812,0.48167729157418687,0.9998851645127131,-4.025542281908162,False
5,UCB,0.364357-0.284511-0.984945-0.995724,1586.6284789530057,154.12599145193187,1894.8804618568695,1088.8596181962705,False
5,EI,0.789284-0.709447-0.999659-0.988580,1596.9611778793837,144.57242489168632,508.09954160499547,1088.8596181962705,False
5,PI,0.034253-0.976922-0.933011-0.894918,1263.9407993818281,26.399352535179062,0.9999999999834019,1088.8596181962705,False
6,UCB,0.359755-0.015780-0.934585-0.949942-0.058699,-0.4204923904683402,0.40282755150824173,0.38516271254814327,-0.7142649478202404,False
6,EI,0.455742-0.299352-0.606981-0.930838-0.049602,-0.2508942915355541,0.26911395935623594,0.45847889918009155,-0.7142649478202404,False
6,PI,0.632116-0.274823-0.613830-0.775835-0.003993,-0.4397405390227296,0.12830578362414585,0.9803805008094424,-0.7142649478202404,False
7,UCB,0.006414-0.755389-0.788847-0.126077-0.366314-0.801712,1.2146871900482603,0.1675477564564369,1.5497827029611342,1.3649683044991994,False
7,EI,0.071065-0.627583-0.974815-0.202880-0.381043-0.745907,1.355763104327078,0.07989221200567008,0.023186273742304454,1.3649683044991994,False
7,PI,0.071065-0.627583-0.974815-0.202880-0.381043-0.745907,1.355763104327078,0.07989221200567008,0.40501439507397796,1.3649683044991994,False
8,UCB,0.013406-0.218212-0.201460-0.062705-0.974990-0.028078-0.038983-0.369311,10.053633715066217,0.22506529499544134,10.5037643050571,9.598482002566342,False
8,EI,0.134212-0.268182-0.066654-0.112067-0.961065-0.490803-0.150199-0.327519,10.124915908524542,0.13940461953798858,0.5164374514671634,9.598482002566342,False
8,PI,0.180483-0.112289-0.227941-0.148708-0.872342-0.372191-0.335194-0.981435,10.011020145494493,0.09077369506762499,0.9999953862061871,9.598482002566342,False
